"CODE";"BOROUGH";"YEAR";"VAL_01_AGE";"VAR_01_AGE";"IND_01_AGE";"VAL_02_RACE_WHITE";"VAR_02_RACE_WHITE";"IND_02_RACE_WHITE";"VAL_03_WEEK_EARNINGS";"VAR_03_WEEK_EARNINGS";"IND_03_WEEK_EARNINGS";"VAL_04_PERCENT_NVQ4";"VAR_04_PERCENT_NVQ4";"IND_04_PERCENT_NVQ4";"VAL_05_CAR_TRAFFIC";"VAR_05_CAR_TRAFFIC";"IND_05_CAR_TRAFFIC";"VAL_06_EXP_LIFE";"VAR_06_EXP_LIFE";"IND_06_EXP_LIFE";"VAL_07_CRIMES";"VAR_07_CRIMES";"IND_07_CRIMES";"VAL_08_SERVICES";"VAR_08_SERVICES";"IND_08_SERVICES";"VAL_09_HOUSE_PRICE";"VAR_09_HOUSE_PRICE";"IND_09_HOUSE_PRICE";"VAL_10_HOUSE_RENT";"VAR_10_HOUSE_RENT";"IND_10_HOUSE_RENT"
"E09000002";"Barking and Dagenham";2001;42,77;0;0;84,84;0;0;383,3;0;0;14,1;0;0;460;0;0;76,92;0;0;1711,5;0;0;750;0;0;88664,06;0;0;64,18;0;0
"E09000002";"Barking and Dagenham";2011;46,46;0,831;2,0368;58,25;-3,6904;-1,1501;452,1;1,8512;-0,2138;26,9;9,6671;0,8816;504;0,9177;2,3987;79,25;0,3737;-0,1763;1517,58;-1,1953;0,5844;755;0,0831;-0,9127;163465,14;6,3084;0,0176;96,49;4,1617;-0,0795
"E09000002";"Barking and Dagenham";2021;44,08;-0,5245;-1,8649;45,31;-2,4809;-2,5763;508,7;1,1865;-0,3146;37;3,2393;0,2177;457;-0,9742;0,064;78,5;-0,095;-4,8618;1554,75;0,2423;1,9926;1310;5,6653;0,5232;309046,08;6,5761;0,1781;118,71;2,0941;-0,0907
"E09000002";"Barking and Dagenham";2031;44,93;0,1912;-0,0553;39,91;-1,261;-2,5302;604,86;1,7465;-0,2407;56,55;4,3333;0,7937;492;0,7407;2,9652;75,71;-0,3612;-2,6633;1615,87;0,3863;0,6217;1631;2,2159;0,9136;389817,16;2,349;0,0916;145,5;2,0558;-0,1352
"E09000003";"Barnet";2001;43,51;0;0;73,9;0;0;427,4;0;0;37,3;0;0;1389;0;0;80,09;0;0;2689,5;0;0;2395;0;0;185563,35;0;0;67,7;0;0
"E09000003";"Barnet";2011;46,39;0,643;1,8022;64,14;-1,4065;0,1806;498,3;1,72;-0,2695;50,4;4,3938;-0,1448;1393;0,0288;1,0439;82,32;0,3439;-0,242;2149,83;-2,2148;0,23;2570;0,8854;-0,0699;338978,01;6,2106;0,0019;103,17;4,3029;-0,0482
"E09000003";"Barnet";2021;43,9;-0,5502;-1,9073;59,34;-0,7748;-0,1169;574,9;1,4402;-0,1681;56,1;1,0772;-0,5951;1246;-1,109;-0,0655;83,04;0,0871;2,5407;2234,5;0,387;2,5854;4580;5,9481;0,5993;555740,17;5,0679;-0,0921;128,78;2,242;-0,0265
"E09000003";"Barnet";2031;45,13;0,2767;0,3671;56,98;-0,405;-0,1338;712,47;2,1686;-0,0572;67,16;1,8157;-0,2484;1368;0,9385;4,0241;81,54;-0,1821;-0,8469;2103,39;-0,6028;-3,5306;4255;-0,7333;-1,6332;700197,15;2,3375;0,0863;163,82;2,4358;0,0246
"E09000004";"Bexley";2001;44,07;0;0;91,18;0;0;405;0;0;15,8;0;0;817;0;0;79,15;0;0;1766,67;0;0;1155;0;0;116527,13;0;0;63,58;0;0
"E09000004";"Bexley";2011;46,05;0,4405;1,5496;81,88;-1,07;0,3766;505,1;2,4845;0,0551;27,2;8,0691;0,5706;795;-0,2726;0,5845;81,81;0,414;-0,0875;1009,5;-5,4427;-0,8923;1205;0,5311;-0,4421;200672,26;5,5859;-0,0989;90,6;3,605;-0,2026
"E09000004";"Bexley";2021;44,47;-0,3485;-1,5747;75,6;-0,7948;-0,1457;586,6;1,5071;-0,1294;42,3;4,5146;0,6972;749;-0,5943;0,429;81,5;-0,038;-2,5447;1229,42;1,9904;9,154;1470;2,0077;-0,4602;369472,17;6,2942;0,1276;112,22;2,1631;-0,0607
"E09000004";"Bexley";2031;40,54;-0,921;-5,5504;72,25;-0,4522;-0,266;747,93;2,4594;0,0692;57,89;3,1873;0,3194;785;0,4706;1,5193;80,9;-0,0739;0,2505;1387,73;1,2186;4,1159;1602;0,8636;-0,2542;480038,5;2,6525;0,2327;139,05;2,1669;-0,0885
"E09000005";"Brent";2001;45,49;0;0;45,49;0;0;368,4;0;0;24,5;0;0;835;0;0;78,79;0;0;2773;0;0;1745;0;0;157287,4;0;0;62,39;0;0
"E09000005";"Brent";2011;44,38;-0,2467;0,6922;36,28;-2,2369;-0,3033;414,9;1,3295;-0,4354;30,2;3,0332;-0,4096;798;-0,4522;0,3108;81,81;0,4713;0,0388;2464,58;-1,1722;0,5924;1905;1,1026;0,1583;298964,55;6,6332;0,07;101,46;4,9828;0,1021
"E09000005";"Brent";2021;46,27;0,4179;-0,3109;33,95;-0,6616;0,0463;555,7;2,965;0,7127;51;5,3795;1,0223;746;-0,6716;0,3547;81,64;-0,0208;-1,8455;2274,58;-0,7991;-2,2737;3135;5,1076;0,3733;490444,25;5,0744;-0,0909;127,79;2,3341;0,0135
"E09000005";"Brent";2031;46,09;-0,039;-1,1927;32,65;-0,3897;-0,091;649,84;1,5773;-0,3143;66,59;2,7032;0,119;750;0,0535;-0,7136;78,63;-0,375;-2,8032;2323,8;0,2143;-0,1003;3410;0,8444;-0,2708;629801,69;2,5325;0,1769;159,35;2,2317;-0,0612
"E09000006";"Bromley";2001;45,77;0;0;91,46;0;0;440,1;0;0;34,7;0;0;1164;0;0;79,84;0;0;2386,5;0;0;1865;0;0;162131,84;0;0;65,76;0;0
"E09000006";"Bromley";2011;43,92;-0,4117;0,4863;84,3;-0,8119;0,527;551,7;2,5429;0,0799;43,5;3,2816;-0,3613;1130;-0,296;0,5488;82,36;0,3892;-0,1422;1795,25;-2,8067;0,0242;1995;0,8458;-0,1115;274874,58;5,4209;-0,1255;95,71;3,8244;-0,1541
"E09000006";"Bromley";2021;46,28;0,5248;-0,1346;78,51;-0,709;-0,0221;666,6;1,9099;0,1032;57,9;2,9008;0,0905;1090;-0,3598;0,6543;83,04;0,0823;2,3455;1856,25;0,3347;2,3712;2300;1,4328;-0,6148;466823,83;5,4391;-0,0256;116,32;1,9694;-0,1449
"E09000006";"Bromley";2031;45,58;-0,1523;-1,7525;75,66;-0,3691;-0,0333;823,77;2,1396;-0,0698;71,55;2,1394;-0,1144;1132;0,3788;1,0278;83,63;0,0708;1,7181;1740,92;-0,6394;-3,6843;2458;0,6666;-0,4244;582155,67;2,2324;0,0375;142,29;2,0357;-0,1437
"E09000007";"Camden";2001;47,19;0;0;73,23;0;0;470,8;0;0;46,9;0;0;477;0;0;77,82;0;0;4425,25;0;0;3225;0;0;278594,04;0;0;65,16;0;0
"E09000007";"Camden";2011;42,07;-1,1419;-0,4247;66,35;-0,9818;0,428;612;2,9573;0,2559;55,2;2,3551;-0,5416;394;-1,8935;-1,886;81,98;0,6531;0,4395;2913,92;-4,0922;-0,4228;3480;0,9558;0,0041;554392,96;7,1235;0,1491;104,29;4,8157;0,0652
"E09000007";"Camden";2021;46,13;0,9255;0,5262;65,06;-0,1961;0,7173;695;1,2799;-0,2607;66,8;1,9257;-0,2761;311;-2,3378;-1,2462;81,89;-0,011;-1,4472;2302,83;-2,3261;-8,5293;5615;4,9004;0,3176;838758,5;4,2274;-0,2426;134,75;2,5956;0,1271
"E09000007";"Camden";2031;44,09;-0,4513;-3,2297;64,79;-0,0416;0,8835;794,71;1,3497;-0,4132;77,3;1,4706;-0,3913;253;-2,0429;-11,9363;80,58;-0,1611;-0,6339;2369,26;0,2848;0,1956;6052;0,7523;-0,3503;980352,38;1,5721;-0,2694;172,79;2,5177;0,0591
"E09000008";"Croydon";2001;46,58;0;0;69,98;0;0;405,3;0;0;27,6;0;0;1166;0;0;78,75;0;0;3120,83;0;0;2090;0;0;132509,21;0;0;71,85;0;0
"E09000008";"Croydon";2011;44,15;-0,5344;0,3333;55,11;-2,3605;-0,3753;481,7;1,9373;-0,1773;36,7;4,1549;-0,1913;1080;-0,7633;-0,1634;81;0,3528;-0,2224;2636,83;-1,6711;0,419;2140;0,296;-0,689;215427,58;4,9797;-0,1967;101,9;3,5559;-0,2135
"E09000008";"Croydon";2021;45,93;0,396;-0,347;46,19;-1,7502;-1,523;613,3;2,4447;0,4121;49,7;3,0787;0,1574;1012;-0,6482;0,3772;81,22;0,0271;0,1016;2676,67;0,1501;1,6149;2740;2,5023;-0,3272;387554,67;6,0482;0,0836;124,02;1,9839;-0,1386
"E09000008";"Croydon";2031;46,1;0,037;-0,8172;41,6;-1,0412;-1,9149;785,78;2,5092;0,0909;62,65;2,3426;-0,0303;1031;0,1862;-0,0032;80,51;-0,0878;0,1095;2957,85;1,0039;3,2145;2907;0,5934;-0,4876;454798,66;1,6128;-0,2505;155,13;2,2634;-0,0479
"E09000009";"Ealing";2001;45,52;0;0;58,82;0;0;431,5;0;0;36,5;0;0;1166;0;0;78,56;0;0;3260,67;0;0;2005;0;0;170190,62;0;0;63,68;0;0
"E09000009";"Ealing";2011;45,97;0,0984;1,1228;49;-1,81;-0,0545;486,6;1,3442;-0,4291;47,1;3,7094;-0,278;1072;-0,837;-0,2757;81,07;0,3939;-0,1318;2644,58;-2,0724;0,2795;2185;1,0804;0,135;302306,91;5,9135;-0,0461;102,76;4,9016;0,0842
"E09000009";"Ealing";2021;43,08;-0,6472;-2,0673;45,6;-0,7165;-0,0329;582,6;1,8169;0,0495;65,7;3,3843;0,2722;960;-1,0974;-0,0544;81,43;0,0443;0,8008;2336,42;-1,2313;-4,0442;3160;3,7585;0,0105;505746,08;5,2806;-0,054;129,21;2,3169;0,006
"E09000009";"Ealing";2031;42,86;-0,0512;-1,253;44,09;-0,3362;0,0588;677,71;1,5237;-0,3376;82,88;2,3501;-0,0272;948;-0,1257;-1,6729;79,57;-0,2308;-1,3408;2004,82;-1,519;-7,377;3633;1,4046;0,213;639843,18;2,3798;0,106;161,93;2,2829;-0,0397
"E09000010";"Enfield";2001;43,68;0;0;76,86;0;0;363,1;0;0;21,5;0;0;1213;0;0;78,83;0;0;2450,08;0;0;1600;0;0;135713,17;0;0;64,06;0;0
"E09000010";"Enfield";2011;46,41;0,6081;1,7587;61,01;-2,283;-0,3301;475,8;3,0491;0,2949;36,8;7,9802;0,5533;1237;0,1961;1,2989;81,67;0,4434;-0,0227;1901,42;-2,5033;0,1297;1735;1,0177;0,0691;241991,26;5,9541;-0,0395;100,97;4,6551;0,0297
"E09000010";"Enfield";2021;43,66;-0,609;-2,0043;55,33;-0,9725;-0,4019;521,5;0,9213;-0,4678;49,2;2,9465;0,1077;1194;-0,3532;0,6606;81,74;0,0086;-0,6504;2379,58;2,2686;10,2937;2495;3,6996;-0,0053;422486;5,7307;0,0267;123,27;2,0156;-0,1248
"E09000010";"Enfield";2031;44,68;0,2312;0,1423;52,62;-0,5009;-0,4023;632,88;1,9546;-0,1502;65,49;2,9013;0,201;1253;0,4835;1,5883;81,34;-0,049;0,503;2387,72;0,0342;-0,8564;2851;1,3427;0,1595;519280,3;2,0843;-0,0314;153,97;2,2487;-0,0541
"E09000011";"Greenwich";2001;43,13;0;0;76,95;0;0;401,3;0;0;26,7;0;0;924;0;0;77,03;0;0;2416,25;0;0;1130;0;0;125820,07;0;0;62,92;0;0
"E09000011";"Greenwich";2011;46,81;0,8221;2,0257;62,47;-2,0631;-0,202;488;2,1972;-0,0669;43,2;7,1157;0,385;948;0,2568;1,3914;79,88;0,4552;0,0033;1839,17;-2,6921;0,064;1265;1,4207;0,4925;229295,4;6,1853;-0,0022;96,61;4,3815;-0,0309
"E09000011";"Greenwich";2021;43,18;-0,8039;-2,3257;57,93;-0,7517;-0,0836;618,3;2,3948;0,3833;58,2;3,0253;0,1373;866;-0,9006;0,1347;80,16;0,035;0,4228;2100,17;1,3359;6,4728;1900;4,1517;0,1163;418248,75;6,195;0,1099;120,65;2,247;-0,0243
"E09000011";"Greenwich";2031;46,32;0,7044;2,4802;55,92;-0,3525;0,0132;729,2;1,6634;-0,2768;77,34;2,8841;0,1938;916;0,5629;2,0134;78,66;-0,1887;-0,9138;2585,58;2,1011;7,8207;2287;1,8712;0,6159;533116,06;2,4563;0,1415;151,53;2,3051;-0,0304
"E09000012";"Hackney";2001;42,98;0;0;59,65;0;0;387,1;0;0;31;0;0;439;0;0;77,31;0;0;3314,08;0;0;1330;0;0;153406,32;0;0;59,83;0;0
"E09000012";"Hackney";2011;46,18;0,7207;1,8992;54,7;-0,8626;0,4974;517,4;3,2762;0,3913;47,6;6,3179;0,2297;369;-1,722;-1,6246;79,81;0,3986;-0,1214;2231,25;-3,8789;-0,3486;1630;2,5751;1,7052;308698,44;7,243;0,1684;96,49;4,8954;0,0828
"E09000012";"Hackney";2021;43,82;-0,5232;-1,8628;56,86;0,388;1,5593;576,8;1,0927;-0,3688;71,1;4,0941;0,5391;314;-1,6011;-0,5383;79,51;-0,0377;-2,5325;2531;1,2685;6,1966;3230;7,0783;0,9031;573982,67;6,3987;0,1464;121,41;2,3239;0,0091
"E09000012";"Hackney";2031;40,13;-0,8758;-5,3271;57,59;0,1276;1,3572;713,64;2,1517;-0,0646;94,69;2,9067;0,2032;280;-1,1395;-7,1001;76,08;-0,44;-3,4625;2646,68;0,4479;0,8804;4276;2,8451;1,4569;681328,99;1,7292;-0,1964;155,82;2,5267;0,0628
"E09000013";"Hammersmith and Fulham";2001;44,37;0;0;77,92;0;0;492,8;0;0;46,9;0;0;478;0;0;78,49;0;0;2457,25;0;0;1695;0;0;271918,78;0;0;59,74;0;0
"E09000013";"Hammersmith and Fulham";2011;45;0,1411;1,176;68,08;-1,3409;0,2188;594,1;2,0989;-0,1086;56,4;2,67;-0,4803;405;-1,6436;-1,5051;80,8;0,3632;-0,1995;1883,58;-2,6237;0,0878;1960;1,8324;0,925;518573,67;6,6687;0,0758;101,78;5,4726;0,2105
"E09000013";"Hammersmith and Fulham";2021;45,97;0,2135;-0,6479;64,99;-0,4634;0,332;727;2,0393;0,178;74,4;2,8086;0,0558;331;-1,9975;-0,9192;80,3;-0,0621;-3,5244;1607;-1,5755;-5,4543;2480;2,381;-0,3598;764324,92;3,9553;-0,2914;130,44;2,512;0,0908
"E09000013";"Hammersmith and Fulham";2031;45,88;-0,0196;-1,0968;63,84;-0,1784;0,5006;841,72;1,476;-0,3583;90,58;1,9873;-0,1774;297;-1,078;-6,7709;78,75;-0,1947;-0,9746;1305,63;-2,0554;-9,6289;2668;0,7334;-0,3667;917191,93;1,84;-0,1449;170,78;2,7313;0,1489
"E09000014";"Haringey";2001;47,34;0;0;65,82;0;0;384,9;0;0;35,3;0;0;499;0;0;77,19;0;0;3138,42;0;0;1440;0;0;165127,04;0;0;61,93;0;0
"E09000014";"Haringey";2011;42,49;-1,075;-0,3412;60,55;-0,8311;0,5158;471,8;2,2877;-0,0285;50,4;5,2189;0,0158;425;-1,5924;-1,4271;81,1;0,6196;0,3657;2053,42;-4,1534;-0,4441;1595;1,2861;0,3511;326468,34;7,0538;0,1379;96,07;4,4885;-0,0072
"E09000014";"Haringey";2021;46,98;1,0096;0,6649;62,42;0,3046;1,4391;546;1,4714;-0,1501;56,2;1,0952;-0,5883;376;-1,2175;-0,1698;81,1;0;-1;2356,17;1,3848;6,6731;2235;3,4312;-0,0775;550657,92;5,3669;-0,0385;121,16;2,3475;0,0193
"E09000014";"Haringey";2031;44,85;-0,4629;-3,2871;63,23;0,129;1,3611;671,82;2,0954;-0,089;68,49;1,9974;-0,1732;332;-1,2368;-7,621;82,2;0,1348;2,3671;2254,23;-0,4413;-2,8526;2667;1,7828;0,5396;667465,06;1,9424;-0,0973;154,26;2,4447;0,0284
"E09000015";"Harrow";2001;46,59;0;0;58,62;0;0;378,1;0;0;33,6;0;0;556;0;0;80,62;0;0;1518,08;0;0;1335;0;0;170250,17;0;0;66,5;0;0
"E09000015";"Harrow";2011;43,77;-0,6224;0,2235;42,22;-3,2286;-0,881;487,7;2,8686;0,2182;43,3;3,6897;-0,2818;545;-0,1996;0,6958;83,18;0,3915;-0,1371;1138,42;-2,837;0,0136;1495;1,425;0,497;296477,73;5,7038;-0,0799;105,7;4,7431;0,0491
"E09000015";"Harrow";2021;46,19;0,5396;-0,1102;35,58;-1,6965;-1,4456;580,2;1,7519;0,012;57,7;2,9127;0,095;493;-0,9978;0,0413;83,04;-0,0168;-1,6829;1224,58;0,7322;3,9996;2025;3,0809;-0,1716;489382,17;5,1394;-0,0793;133,37;2,3525;0,0215
"E09000015";"Harrow";2031;45,05;-0,2496;-2,2332;32,43;-0,9227;-1,5831;729,58;2,3174;0,0075;71,88;2,2217;-0,0803;538;0,8773;3,6965;81,24;-0,2189;-1,2201;1157,72;-0,5599;-3,3505;2426;1,8232;0,5744;611964,6;2,2605;0,0505;169,61;2,4329;0,0234
"E09000016";"Havering";2001;46,15;0;0;94,97;0;0;385,1;0;0;12;0;0;1190;0;0;78,78;0;0;1822,33;0;0;1305;0;0;124071,4;0;0;64,47;0;0
"E09000016";"Havering";2011;44,09;-0,4556;0,4316;87,64;-0,8;0,5339;505,3;3,0643;0,3014;18,9;6,7045;0,305;1231;0,3393;1,5171;81,25;0,3866;-0,1479;1415,33;-2,4959;0,1322;1380;0,701;-0,2636;219558,76;5,8737;-0,0525;95,57;4,0151;-0,1119
"E09000016";"Havering";2021;45,68;0,3549;-0,4147;81,23;-0,7567;-0,0908;585,7;1,4875;-0,1408;37,1;6,9772;1,6229;1197;-0,2797;0,7313;81,12;-0,016;-1,6504;1401,08;-0,1011;0,5858;1785;2,6067;-0,2991;384345,33;5,7589;0,0317;118,14;2,1427;-0,0696
"E09000016";"Havering";2031;48,9;0,6835;2,377;77,81;-0,4292;-0,2016;716,13;2,0309;-0,1171;51,86;3,406;0,4099;1351;1,2176;5,5182;78,85;-0,2834;-1,8742;1726,07;2,1079;7,8493;1894;0,5945;-0,4866;486209,12;2,3788;0,1055;146,58;2,1804;-0,0828
"E09000017";"Hillingdon";2001;45,85;0;0;78,86;0;0;396,3;0;0;24,2;0;0;1929;0;0;78,91;0;0;2422,83;0;0;1800;0;0;145293,69;0;0;65,81;0;0
"E09000017";"Hillingdon";2011;45,16;-0,1515;0,811;60,57;-2,6042;-0,5172;497,4;2,5568;0,0858;35,3;5,5414;0,0786;1890;-0,204;0,6891;81,41;0,3906;-0,1391;2145,33;-1,2091;0,5796;1905;0,7112;-0,2529;251781,66;5,652;-0,0883;102,57;4,5377;0,0037
"E09000017";"Hillingdon";2021;44,3;-0,1921;-1,3168;49,38;-2,0218;-1,9145;594,8;1,8044;0,0423;49,7;3,4804;0,3084;1767;-0,6707;0,3556;81,25;-0,0197;-1,8008;2036,5;-0,5193;-1,1274;2705;3,5684;-0,0406;426096,25;5,4019;-0,0322;125;1,9974;-0,1327
"E09000017";"Hillingdon";2031;44,49;0,0428;-0,7885;44,04;-1,1379;-2,1856;734,59;2,1333;-0,0726;68,35;3,2377;0,3402;1897;0,7124;2,8137;80,23;-0,1263;-0,2809;2201,12;0,7804;2,2762;3027;1,131;-0,0233;533031,28;2,2644;0,0523;157,92;2,3653;-0,005
"E09000018";"Hounslow";2001;44,39;0;0;64,83;0;0;388,6;0;0;25,5;0;0;1423;0;0;77,62;0;0;2494,08;0;0;1370;0;0;153622,97;0;0;66,96;0;0
"E09000018";"Hounslow";2011;46,93;0,558;1,6962;51,38;-2,2984;-0,3391;473,2;2,2127;-0,0603;47,3;9,2274;0,7961;1366;-0,408;0,3781;80,88;0,5156;0,1364;1974,67;-2,3081;0,1975;1595;1,919;1,016;264605,14;5,5879;-0,0986;100,04;4,0964;-0,0939
"E09000018";"Hounslow";2021;43,64;-0,7242;-2,1943;46,75;-0,9399;-0,3549;567,2;1,8285;0,0562;56,8;1,8471;-0,3056;1180;-1,4531;-0,3961;81,18;0,037;0,5041;1927,25;-0,2428;0,0053;2205;3,2915;-0,115;420711,83;4,7463;-0,1497;125,61;2,3022;-3e-04
"E09000018";"Hounslow";2031;42,05;-0,3705;-2,8305;44,38;-0,5189;-0,4527;688,02;1,9498;-0,1523;73,67;2,6347;0,0906;1299;0,9654;4,1681;79,67;-0,1876;-0,9026;1858,11;-0,3647;-2,5311;2723;2,1325;0,8415;547380,47;2,6669;0,2394;158,7;2,3659;-0,0048
"E09000019";"Islington";2001;42,6;0;0;75,42;0;0;465;0;0;40;0;0;373;0;0;76,41;0;0;3134,25;0;0;1935;0;0;219818,4;0;0;59,16;0;0
"E09000019";"Islington";2011;48,06;1,2133;2,5138;68,21;-0,9998;0,4175;598,5;2,844;0,2078;58,7;5,6323;0,0963;301;-2,1218;-2,234;79,66;0,522;0,1505;2213,92;-3,4165;-0,1879;2030;0,6009;-0,3687;424103,79;6,7925;0,0957;98,9;5,273;0,1663
"E09000019";"Islington";2021;41,45;-1,4687;-3,422;67,31;-0,1327;0,8087;670,7;1,1455;-0,3383;67,5;1,4067;-0,4712;244;-2,0775;-0,9961;80,4;0,0925;2,7602;2027,75;-0,8745;-2,5825;3210;4,689;0,2607;679191,58;4,8219;-0,1361;128,61;2,6616;0,1557
"E09000019";"Islington";2031;46,72;1,204;4,9486;66,74;-0,085;0,762;806,91;1,8661;-0,1887;83,68;2,172;-0,1009;206;-1,6787;-9,9866;78,89;-0,1894;-0,9209;1847,07;-0,9289;-4,8997;4050;2,3517;1,0308;827369,17;1,9931;-0,0738;167,1;2,6527;0,1158
"E09000020";"Kensington and Chelsea";2001;42,75;0;0;78,64;0;0;601,5;0;0;38,9;0;0;458;0;0;81,67;0;0;2467,08;0;0;2630;0;0;420129,47;0;0;55,97;0;0
